Title	Note	URL	Tags	Comment
Quán bánh O Lé		https://www.google.com/maps/place/Qu%C3%A1n+b%C3%A1nh+O+L%C3%A9/data=!4m2!3m1!1s0x3141a6b87c8ce2a3:0x82a28db950a83af2	🍔 吃	
Bánh Mì Trường Tiền O Tho		https://www.google.com/maps/place/B%C3%A1nh+M%C3%AC+Tr%C6%B0%E1%BB%9Dng+Ti%E1%BB%81n+O+Tho/data=!4m2!3m1!1s0x3141a1548c15a08b:0x83fefcd330ccb1c5	🍔 吃	
Cozy Restaurant ( Huế )	吃	https://www.google.com/maps/place/Cozy+Restaurant+(+Hu%E1%BA%BF+)/data=!4m2!3m1!1s0x3141a13e98d63e63:0xb37e74ec6e0b8f5b	🍔 吃	
Family Home Cafe & Restaurant	吃	https://www.google.com/maps/place/Family+Home+Cafe+%26+Restaurant/data=!4m2!3m1!1s0x3141a13c050516ef:0xc7a8725935cf4172	🍔 吃	
Madam Thu 2 - Hue Restaurant	餐廳	https://www.google.com/maps/place/Madam+Thu+2+-+Hue+Restaurant/data=!4m2!3m1!1s0x3141a114d72fd4db:0xbf1fb100cee58698	🍔 吃	
Nina's Cafe-Vietnamese Restaurant	吃	https://www.google.com/maps/place/Nina's+Cafe-Vietnamese+Restaurant/data=!4m2!3m1!1s0x3141a13ea8609ef9:0x754ecb7b7f0d42ae	🍔 吃	
Cam On cafe - Coffee Class	Coffee	https://www.google.com/maps/place/Cam+On+cafe+-+Coffee+Class/data=!4m2!3m1!1s0x3141a1d1bc72903b:0x65a55355af6d20fb	🍹 喝	
Vị Huế Restaurant & Café	吃	https://www.google.com/maps/place/V%E1%BB%8B+Hu%E1%BA%BF+Restaurant+%26+Caf%C3%A9/data=!4m2!3m1!1s0x3141a1af30202ce7:0x6062d8addb3012d9	🍔 吃	
Zucca Restaurant	吃	https://www.google.com/maps/place/Zucca+Restaurant/data=!4m2!3m1!1s0x3141a13cc25d0411:0x8e243003bc711481	🍔 吃	
Sake Restaurant	吃	https://www.google.com/maps/place/Sake+Restaurant/data=!4m2!3m1!1s0x3141a56097f35b21:0x93f5754753e2256	🍔 吃	
Hue Imperial City		https://www.google.com/maps/place/Hue+Imperial+City/data=!4m2!3m1!1s0x3141a1813b4736fb:0x4168e840f61bf1f3	🏄 玩	
CỦI COFFEE	Coffee	https://www.google.com/maps/place/C%E1%BB%A6I+COFFEE/data=!4m2!3m1!1s0x3141a70006004823:0xcfd1d51beace09be	🍹 喝	
ECO restaurant -bar- coffee	吃	https://www.google.com/maps/place/ECO+restaurant+-bar-+coffee/data=!4m2!3m1!1s0x3141a3f7540cd299:0x651db370dcd126e4	🍔 吃	
SIX ON SIX CAFE - BRUNCH & RESTAURANT		https://www.google.com/maps/place/SIX+ON+SIX+CAFE+-+BRUNCH+%26+RESTAURANT/data=!4m2!3m1!1s0x31421766e7e7a589:0xd9a579d9ca3dd6d	🍔 吃	
Maharaja Indian Restaurant Đà Nẵng ( since 2016)		https://www.google.com/maps/place/Maharaja+Indian+Restaurant+%C4%90%C3%A0+N%E1%BA%B5ng+(+since+2016)/data=!4m2!3m1!1s0x31421786c6fc6515:0xf14051563fe834d9	🍔 吃	
Korea BBQ House		https://www.google.com/maps/place/Korea+BBQ+House/data=!4m2!3m1!1s0x3142176cb3e4a145:0x7c45e6f785d6ca54	🍔 吃	
Adobo Mexican Grill		https://www.google.com/maps/place/Adobo+Mexican+Grill/data=!4m2!3m1!1s0x3142177a34473fb7:0xe7fbb362f64cf3bd	🍔 吃	
Nhà Bếp Xưa Restaurant		https://www.google.com/maps/place/Nh%C3%A0+B%E1%BA%BFp+X%C6%B0a+Restaurant/data=!4m2!3m1!1s0x314217f1aeaab4db:0xef0467544cfd59ae	🍔 吃	
Vietnam Daily Cuisine		https://www.google.com/maps/place/Vietnam+Daily+Cuisine/data=!4m2!3m1!1s0x314217ea514786c3:0xec7343f37dc6ecf7	🍔 吃	
Indus Indian Restaurant - Nhà hàng Ấn Độ - 인도 음식점		https://www.google.com/maps/place/Indus+Indian+Restaurant+-+Nh%C3%A0+h%C3%A0ng+%E1%BA%A4n+%C4%90%E1%BB%99+-+%EC%9D%B8%EB%8F%84+%EC%9D%8C%EC%8B%9D%EC%A0%90/data=!4m2!3m1!1s0x314217c9640b78c1:0x82136c206220b7c4	🍔 吃	
L'Italiano Restaurant Danang		https://www.google.com/maps/place/L'Italiano+Restaurant+Danang/data=!4m2!3m1!1s0x314217f5cb2f52d3:0x7bef106543780227	🍔 吃	
EMO'S HOMECOOKED VIETNAMESE CUISINE		https://www.google.com/maps/place/EMO'S+HOMECOOKED+VIETNAMESE+CUISINE/data=!4m2!3m1!1s0x314217641a07b4ef:0xe08cfd4c0fee906f	🍔 吃	
Công Viên Đèn Lồng Hội An - Hoi An Lantern Park	公園對面有很多珠寶店換匯	https://www.google.com/maps/place/C%C3%B4ng+Vi%C3%AAn+%C4%90%C3%A8n+L%E1%BB%93ng+H%E1%BB%99i+An+-+Hoi+An+Lantern+Park/data=!4m2!3m1!1s0x31420d000e085905:0xe60f869114ca9e66		
Esco Beach, Bar Lounge & Restaurant		https://www.google.com/maps/place/Esco+Beach,+Bar+Lounge+%26+Restaurant/data=!4m2!3m1!1s0x314217a3b04f5fbb:0x2b366b654ca8ffc4	🍔 吃	
LoCo Restaurant - Danang Seafood Restaurant - 다낭 레스토랑		https://www.google.com/maps/place/LoCo+Restaurant+-+Danang+Seafood+Restaurant+-+%EB%8B%A4%EB%82%AD+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91/data=!4m2!3m1!1s0x31421977569bbd1f:0xa664a343c71a38a1	🍔 吃	
Thìa Gỗ 峴港餐廳		https://www.google.com/maps/place/Th%C3%ACa+G%E1%BB%97+%E5%B3%B4%E6%B8%AF%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x314219c3b54c18d7:0x5028941bdf1ab5f5	🍔 吃	
Tiệm Vàng Soạn Hà	台灣背包客還各國旅客推薦的換匯銀樓	https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+So%E1%BA%A1n+H%C3%A0/data=!4m2!3m1!1s0x314219005fc02995:0xe7be8f1f318889a7		
Bac My An Market	吃	https://www.google.com/maps/place/Bac+My+An+Market/data=!4m2!3m1!1s0x31421760dcd59b65:0xa5148e15ff526fe0		
Con Market	吃	https://www.google.com/maps/place/Con+Market/data=!4m2!3m1!1s0x314218358f50a1bb:0x4b451504a6ccd4df		
棋盤頂		https://www.google.com/maps/place/%E6%A3%8B%E7%9B%A4%E9%A0%82/data=!4m2!3m1!1s0x31423d6e34ee0105:0x69e23a6263ffc6ec		
Pause and Enjoy Restaurant	吃	https://www.google.com/maps/place/Pause+and+Enjoy+Restaurant/data=!4m2!3m1!1s0x31420f979a200925:0x7e44d8c2b5101d20		
Firefly Restaurant & Bar	吃	https://www.google.com/maps/place/Firefly+Restaurant+%26+Bar/data=!4m2!3m1!1s0x31420de22a317d67:0xd598ebe3b75bb05b		
Nhan's kitchen	吃	https://www.google.com/maps/place/Nhan's+kitchen/data=!4m2!3m1!1s0x31420dce077af0e9:0x35c47733b941157c		
Hoi An Memories Land	表演	https://www.google.com/maps/place/Hoi+An+Memories+Land/data=!4m2!3m1!1s0x31420dd30d5a2e97:0xb706b55b652d2588		
Baba's Kitchen Indian Restaurant - Hoian	吃	https://www.google.com/maps/place/Baba's+Kitchen+Indian+Restaurant+-+Hoian/data=!4m2!3m1!1s0x31420e7c5e352983:0xfd056de03aba1002		
MIX Greek Restaurant Hoi An	吃	https://www.google.com/maps/place/MIX+Greek+Restaurant+Hoi+An/data=!4m2!3m1!1s0x31420e7c2c331be3:0x6e3f6fedd3e15114		
Anabas Restaurant - Cá Rô Đồng Quán - Hoi An restaurant - 호이안 로컬 레스토랑	吃	https://www.google.com/maps/place/Anabas+Restaurant+-+C%C3%A1+R%C3%B4+%C4%90%E1%BB%93ng+Qu%C3%A1n+-+Hoi+An+restaurant+-+%ED%98%B8%EC%9D%B4%EC%95%88+%EB%A1%9C%EC%BB%AC+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91/data=!4m2!3m1!1s0x31420fa818f78d83:0xa39416f359fee008		
Hong Phuc 2	吃	https://www.google.com/maps/place/Hong+Phuc+2/data=!4m2!3m1!1s0x31420e7e5d7958a1:0xd637d84fba37ab6		
MẸT Hội An - Vietnamese restaurant & Vegetarian Food MET 10	吃	https://www.google.com/maps/place/M%E1%BA%B8T+H%E1%BB%99i+An+-+Vietnamese+restaurant+%26+Vegetarian+Food+MET+10/data=!4m2!3m1!1s0x31420fbd98e565ff:0x79aaf6821ee04238		
Hoi An Heart Restaurant	吃	https://www.google.com/maps/place/Hoi+An+Heart+Restaurant/data=!4m2!3m1!1s0x31420dc18b032e2d:0x62266259efdc374a		
MẸT Hội An - Vietnamese restaurant & Vegetarian Food MET 9	吃	https://www.google.com/maps/place/M%E1%BA%B8T+H%E1%BB%99i+An+-+Vietnamese+restaurant+%26+Vegetarian+Food+MET+9/data=!4m2!3m1!1s0x31420fb803717867:0x50377c5375a75183		
MAAZI Hoi An	吃	https://www.google.com/maps/place/MAAZI+Hoi+An/data=!4m2!3m1!1s0x31420fcc66b9c25d:0x3863c5ab2b71f77e		
HOME Hoi An	吃	https://www.google.com/maps/place/HOME+Hoi+An/data=!4m2!3m1!1s0x31420e7e55af18c7:0x6ab8c1e98148ccdc		
MẸT Hội An - Vietnamese restaurant & Vegetarian Food 6	吃	https://www.google.com/maps/place/M%E1%BA%B8T+H%E1%BB%99i+An+-+Vietnamese+restaurant+%26+Vegetarian+Food+6/data=!4m2!3m1!1s0x31420f00185cfc61:0x61e9191196ab7cd4		
阮廷沼步行街		https://www.google.com/maps/place/%E9%98%AE%E5%BB%B7%E6%B2%BC%E6%AD%A5%E8%A1%8C%E8%A1%97/data=!4m2!3m1!1s0x3141a13b07b771ab:0xafdcf6ed1832757e		
Chùa Cầu		https://www.google.com/maps/place/Ch%C3%B9a+C%E1%BA%A7u/data=!4m2!3m1!1s0x31420e7c2d02ec59:0x765864d6697d4846		
廣肇會館		https://www.google.com/maps/place/%E5%BB%A3%E8%82%87%E6%9C%83%E9%A4%A8/data=!4m2!3m1!1s0x31420f34ca260c71:0xd5417b5695f28ddb		
中華會館		https://www.google.com/maps/place/%E4%B8%AD%E8%8F%AF%E6%9C%83%E9%A4%A8/data=!4m2!3m1!1s0x31420fdc9f947de3:0x35fb88bbe193c080		
進記古宅		https://www.google.com/maps/place/%E9%80%B2%E8%A8%98%E5%8F%A4%E5%AE%85/data=!4m2!3m1!1s0x31420e7e612c6eb5:0x2a1a73e0741e1d9b		
Hoi An ancient town		https://www.google.com/maps/place/Hoi+An+ancient+town/data=!4m2!3m1!1s0x31420f90ddf1def3:0xaf3ff2c54b65ece7		
福建會館		https://www.google.com/maps/place/%E7%A6%8F%E5%BB%BA%E6%9C%83%E9%A4%A8/data=!4m2!3m1!1s0x31420e7f12e29ded:0xeb30287015a0138b		
My Son Sanctuary		https://www.google.com/maps/place/My+Son+Sanctuary/data=!4m2!3m1!1s0x314200918e1ccec1:0x470ae6f59070c40		
嗣德陵		https://www.google.com/maps/place/%E5%97%A3%E5%BE%B7%E9%99%B5/data=!4m2!3m1!1s0x3141a4038bc6d6c7:0x5976327fac723a0e		
明命陵（孝陵）		https://www.google.com/maps/place/%E6%98%8E%E5%91%BD%E9%99%B5%EF%BC%88%E5%AD%9D%E9%99%B5%EF%BC%89/data=!4m2!3m1!1s0x3141a48171bcf4f9:0xaefcad54b905fa88		
Thanh Ha Pottery Village, Hoi An	手作陶藝	https://www.google.com/maps/place/Thanh+Ha+Pottery+Village,+Hoi+An/data=!4m2!3m1!1s0x31420e587421d439:0x73a31b4ddd945e16		
美山聖地		https://www.google.com/maps/place/%E7%BE%8E%E5%B1%B1%E8%81%96%E5%9C%B0/data=!4m2!3m1!1s0x314200815555551f:0x8baa2869b9f687b		
An Bang Beach		https://www.google.com/maps/place/An+Bang+Beach/data=!4m2!3m1!1s0x31420df96d5396ab:0xed0d9e973a32b1ef		
Mausoleum of Emperor Khai Dinh		https://www.google.com/maps/place/Mausoleum+of+Emperor+Khai+Dinh/data=!4m2!3m1!1s0x3141a39bb06a2097:0xf44d575ac6988ee9		
Golden Bridge		https://www.google.com/maps/place/Golden+Bridge/data=!4m2!3m1!1s0x3141f73d19c5d38f:0x63766c11470ab50d		
Rosie's cafe / Coffee & Brunch	Coffee	https://www.google.com/maps/place/Rosie's+cafe+%2F+Coffee+%26+Brunch/data=!4m2!3m1!1s0x31420e7c348f6f45:0x6d0dde7bd8010e4f		
Mê Hội An Rooftop Coffee & Kitchen	Coffee	https://www.google.com/maps/place/M%C3%AA+H%E1%BB%99i+An+Rooftop+Coffee+%26+Kitchen/data=!4m2!3m1!1s0x31420fb139ebf16f:0xc6d29fcb4f5ef7eb		
會安市場		https://www.google.com/maps/place/%E6%9C%83%E5%AE%89%E5%B8%82%E5%A0%B4/data=!4m2!3m1!1s0x31420e7f74e9fb9d:0x227b7d9724e95f4f		
越南會安夜市		https://www.google.com/maps/place/%E8%B6%8A%E5%8D%97%E6%9C%83%E5%AE%89%E5%A4%9C%E5%B8%82/data=!4m2!3m1!1s0x31420e7dc35f492d:0xa44b01b91d668df		
The Marble Mountains	五行山 (懷嚴洞)	https://www.google.com/maps/place/The+Marble+Mountains/data=!4m2!3m1!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5		
Chùa Linh Ứng	山茶半島靈應寺	https://www.google.com/maps/place/Ch%C3%B9a+Linh+%E1%BB%A8ng/data=!4m2!3m1!1s0x314219af35a4961d:0x1e787acda053d158		
Da Nang Cathedral	峴港大教堂 (粉紅教堂)	https://www.google.com/maps/place/Da+Nang+Cathedral/data=!4m2!3m1!1s0x3142198f38589aef:0x9409e1a4c30cbf79		
Da Nang Museum of Cham Sculpture		https://www.google.com/maps/place/Da+Nang+Museum+of+Cham+Sculpture/data=!4m2!3m1!1s0x314219cdb3006a2d:0x62ca993f60c3a12c		
Han Market		https://www.google.com/maps/place/Han+Market/data=!4m2!3m1!1s0x31421832397ecc0d:0x90b24f8b8cb2873f		
